CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.01;Caixa Líquido Atividades Operacionais;78206.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.01;Caixa Líquido Atividades Operacionais;99521.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.01.01;Caixa Gerado nas Operações;97671.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.01.01;Caixa Gerado nas Operações;118243.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.01.02;Variações nos Ativos e Passivos;-19465.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.01.02;Variações nos Ativos e Passivos;-18722.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.01.03;Outros;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.01.03;Outros;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.02;Caixa Líquido Atividades de Investimento;-143162.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.02;Caixa Líquido Atividades de Investimento;52584.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.03;Caixa Líquido Atividades de Financiamento;58792.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.03;Caixa Líquido Atividades de Financiamento;-37343.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-6164.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.05;Aumento (Redução) de Caixa e Equivalentes;114762.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;157295.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;151131.0000000000;S
